"ensembl_gene_id","external_gene_name","description"
"ENSMUSG00000126636","Gm59906","predicted gene, 59906 [Source:MGI Symbol;Acc:MGI:7802873]"
"ENSMUSG00000090214","Gm15657","predicted gene 15657 [Source:MGI Symbol;Acc:MGI:3783100]"
"ENSMUSG00000139890","Gm60740","predicted gene, 60740 [Source:MGI Symbol;Acc:MGI:7804525]"
"ENSMUSG00000139894","Gm60743","predicted gene, 60743 [Source:MGI Symbol;Acc:MGI:7804531]"
"ENSMUSG00000139898","Gm35350","predicted gene, 35350 [Source:MGI Symbol;Acc:MGI:5594509]"
"ENSMUSG00000101671","Gm28221","predicted gene 28221 [Source:MGI Symbol;Acc:MGI:5578927]"
"ENSMUSG00000113343","Gm34923","predicted gene, 34923 [Source:MGI Symbol;Acc:MGI:5594082]"
"ENSMUSG00002076649","Gm54767","predicted gene, 54767 [Source:MGI Symbol;Acc:MGI:6846011]"
"ENSMUSG00000086992","Gm15941","predicted gene 15941 [Source:MGI Symbol;Acc:MGI:3802081]"
"ENSMUSG00000139929","Gm60745","predicted gene, 60745 [Source:MGI Symbol;Acc:MGI:7804535]"
"ENSMUSG00000126669","Gm59911","predicted gene, 59911 [Source:MGI Symbol;Acc:MGI:7802883]"
"ENSMUSG00000139992","Gm60747","predicted gene, 60747 [Source:MGI Symbol;Acc:MGI:7804539]"
"ENSMUSG00000126673","1700084M22Rik","RIKEN cDNA 1700084M22 gene [Source:MGI Symbol;Acc:MGI:1920772]"
"ENSMUSG00000140046","Gm60749","predicted gene, 60749 [Source:MGI Symbol;Acc:MGI:7804543]"
"ENSMUSG00000140048","Gm29864","predicted gene, 29864 [Source:MGI Symbol;Acc:MGI:5589023]"
"ENSMUSG00000126711","Gm59915","predicted gene, 59915 [Source:MGI Symbol;Acc:MGI:7802891]"
"ENSMUSG00000126720","Gm33502","predicted gene, 33502 [Source:MGI Symbol;Acc:MGI:5592661]"
"ENSMUSG00000094002","Silc1","sciatic injury induced lincRNA upregulator of SOX11 [Source:MGI Symbol;Acc:MGI:3643118]"
"ENSMUSG00000126727","Gm59916","predicted gene, 59916 [Source:MGI Symbol;Acc:MGI:7802893]"
"ENSMUSG00000117681","Gm50198","predicted gene, 50198 [Source:MGI Symbol;Acc:MGI:6302977]"
"ENSMUSG00000024947","Men1","multiple endocrine neoplasia 1 [Source:MGI Symbol;Acc:MGI:1316736]"
"ENSMUSG00000116556","1700007H22Rik","RIKEN cDNA 1700007H22 gene [Source:MGI Symbol;Acc:MGI:1922734]"
"ENSMUSG00000100665","Mrgprc1-ps","MAS-related GPR, member C1, pseudogene [Source:MGI Symbol;Acc:MGI:3033136]"
"ENSMUSG00000084316","Gm8668","predicted gene 8668 [Source:MGI Symbol;Acc:MGI:3648751]"
"ENSMUSG00000084382","Gm3267","predicted gene 3267 [Source:MGI Symbol;Acc:MGI:3781446]"
"ENSMUSG00000101087","Gm2707","predicted gene 2707 [Source:MGI Symbol;Acc:MGI:3780876]"
"ENSMUSG00000115095","Gm49311","predicted gene, 49311 [Source:MGI Symbol;Acc:MGI:6118815]"
"ENSMUSG00000065387","Gm55596","predicted gene, 55596 [Source:MGI Symbol;Acc:MGI:6847660]"
"ENSMUSG00000080425","Gm24833","predicted gene, 24833 [Source:MGI Symbol;Acc:MGI:5454610]"
"ENSMUSG00000101817","Gm28288","predicted gene 28288 [Source:MGI Symbol;Acc:MGI:5578994]"
"ENSMUSG00000038045","Sult6b1","sulfotransferase family, cytosolic, 6B, member 1 [Source:MGI Symbol;Acc:MGI:1920921]"
"ENSMUSG00000086125","Gm15942","predicted gene 15942 [Source:MGI Symbol;Acc:MGI:3802083]"
"ENSMUSG00000086313","Gm15940","predicted gene 15940 [Source:MGI Symbol;Acc:MGI:3802082]"
"ENSMUSG00000099603","Mrgprc3-ps","MAS-related GPR, member C3, pseudogene [Source:MGI Symbol;Acc:MGI:3033196]"
"ENSMUSG00000000531","Tamalin","trafficking regulator and scaffold protein tamalin [Source:MGI Symbol;Acc:MGI:1860303]"
"ENSMUSG00000030917","Ldaf1","lipid droplet assembly factor 1 [Source:MGI Symbol;Acc:MGI:1925752]"
"ENSMUSG00000126764","Gm59921","predicted gene, 59921 [Source:MGI Symbol;Acc:MGI:7802903]"
"ENSMUSG00000034863","Ano8","anoctamin 8 [Source:MGI Symbol;Acc:MGI:2687327]"
"ENSMUSG00000126780","Gm59922","predicted gene, 59922 [Source:MGI Symbol;Acc:MGI:7802905]"
"ENSMUSG00000126793","Gm59924","predicted gene, 59924 [Source:MGI Symbol;Acc:MGI:7802909]"
"ENSMUSG00000126831","Gm59925","predicted gene, 59925 [Source:MGI Symbol;Acc:MGI:7802911]"
"ENSMUSG00000126850","Gm59926","predicted gene, 59926 [Source:MGI Symbol;Acc:MGI:7802913]"
"ENSMUSG00002075137","Gm56329","predicted gene, 56329 [Source:MGI Symbol;Acc:MGI:6849116]"
"ENSMUSG00000126862","Gm59936","predicted gene, 59936 [Source:MGI Symbol;Acc:MGI:7802931]"
"ENSMUSG00000027163","Commd9","COMM domain containing 9 [Source:MGI Symbol;Acc:MGI:1923751]"
"ENSMUSG00000126869","Gm59938","predicted gene, 59938 [Source:MGI Symbol;Acc:MGI:7802935]"
"ENSMUSG00000023034","Nr4a1","nuclear receptor subfamily 4, group A, member 1 [Source:MGI Symbol;Acc:MGI:1352454]"
"ENSMUSG00000055015","Gm9961","predicted gene 9961 [Source:MGI Symbol;Acc:MGI:3642444]"
"ENSMUSG00000063600","Egfem1","EGF-like and EMI domain containing 1 [Source:MGI Symbol;Acc:MGI:1922990]"
"ENSMUSG00000115088","Gm49165","predicted gene, 49165 [Source:MGI Symbol;Acc:MGI:6118592]"
"ENSMUSG00000062691","Cebpzos","CCAAT/enhancer binding protein zeta, opposite strand [Source:MGI Symbol;Acc:MGI:1915804]"
"ENSMUSG00000097621","Gm26562","predicted gene, 26562 [Source:MGI Symbol;Acc:MGI:5477056]"
"ENSMUSG00000115289","Gm49164","predicted gene, 49164 [Source:MGI Symbol;Acc:MGI:6118590]"
"ENSMUSG00000088850","Gm24729","predicted gene, 24729 [Source:MGI Symbol;Acc:MGI:5454506]"
"ENSMUSG00000073656","Gm10558","predicted gene 10558 [Source:MGI Symbol;Acc:MGI:3642906]"
"ENSMUSG00000119684","Gm24540","predicted gene, 24540 [Source:MGI Symbol;Acc:MGI:5454317]"
"ENSMUSG00000075581","Gm16409","predicted gene 16409 [Source:MGI Symbol;Acc:MGI:3646708]"
"ENSMUSG00000065694","Gm25411","predicted gene, 25411 [Source:MGI Symbol;Acc:MGI:5455188]"
"ENSMUSG00000026683","Nuf2","NUF2, NDC80 kinetochore complex component [Source:MGI Symbol;Acc:MGI:1914227]"
"ENSMUSG00000115470","Gm18683","predicted gene, 18683 [Source:MGI Symbol;Acc:MGI:5010868]"
"ENSMUSG00002074909","Gm54863","predicted gene, 54863 [Source:MGI Symbol;Acc:MGI:6846202]"
"ENSMUSG00000107182","Gm43268","predicted gene 43268 [Source:MGI Symbol;Acc:MGI:5663405]"
"ENSMUSG00000115559","Gm49170","predicted gene, 49170 [Source:MGI Symbol;Acc:MGI:6118601]"
"ENSMUSG00000071537","Klrg2","killer cell lectin-like receptor subfamily G, member 2 [Source:MGI Symbol;Acc:MGI:1921503]"
"ENSMUSG00000107173","Gm43266","predicted gene 43266 [Source:MGI Symbol;Acc:MGI:5663403]"
"ENSMUSG00000101739","Gm5733","predicted gene 5733 [Source:MGI Symbol;Acc:MGI:3642992]"
"ENSMUSG00000115567","Gm18148","predicted gene, 18148 [Source:MGI Symbol;Acc:MGI:5010333]"
"ENSMUSG00000050050","Ccdc158","coiled-coil domain containing 158 [Source:MGI Symbol;Acc:MGI:2444555]"
"ENSMUSG00000033186","Mzt1","mitotic spindle organizing protein 1 [Source:MGI Symbol;Acc:MGI:1924039]"
"ENSMUSG00002076926","Gm56336","predicted gene, 56336 [Source:MGI Symbol;Acc:MGI:6849130]"
"ENSMUSG00000001403","Ube2c","ubiquitin-conjugating enzyme E2C [Source:MGI Symbol;Acc:MGI:1915862]"
"ENSMUSG00000100920","Gm18348","predicted gene, 18348 [Source:MGI Symbol;Acc:MGI:5010533]"
"ENSMUSG00000102109","Gm29563","predicted gene 29563 [Source:MGI Symbol;Acc:MGI:5580269]"
"ENSMUSG00000102068","Mrgprc7-ps","MAS-related GPR, member C7, pseudogene [Source:MGI Symbol;Acc:MGI:3033141]"
"ENSMUSG00000102128","Gm18349","predicted gene, 18349 [Source:MGI Symbol;Acc:MGI:5010534]"
"ENSMUSG00000101622","Mrgpra18-ps","MAS-related GPR, member A18, pseudogene [Source:MGI Symbol;Acc:MGI:3033177]"
"ENSMUSG00000022070","Bora","bora, aurora kinase A activator [Source:MGI Symbol;Acc:MGI:1924994]"
"ENSMUSG00000024081","Cebpz","CCAAT/enhancer binding protein zeta [Source:MGI Symbol;Acc:MGI:109386]"
"ENSMUSG00000101759","Gm5734","predicted gene 5734 [Source:MGI Symbol;Acc:MGI:3647104]"
"ENSMUSG00000121015","Gm56721","predicted gene, 56721 [Source:MGI Symbol;Acc:MGI:7337356]"
"ENSMUSG00000037204","Atg101","autophagy related 101 [Source:MGI Symbol;Acc:MGI:1915368]"
"ENSMUSG00000101906","Mrgprc2-ps","MAS-related GPR, member C2, pseudogene [Source:MGI Symbol;Acc:MGI:3033137]"
"ENSMUSG00000067173","Mrgpra4","MAS-related GPR, member A4 [Source:MGI Symbol;Acc:MGI:3033100]"
"ENSMUSG00000079598","Clec2l","C-type lectin domain family 2, member L [Source:MGI Symbol;Acc:MGI:2141402]"
"ENSMUSG00000070552","Mrgprx1","MAS-related GPR, member X1 [Source:MGI Symbol;Acc:MGI:3033139]"
"ENSMUSG00000086550","Pla2g10os","phospholipase A2, group X, opposite strand [Source:MGI Symbol;Acc:MGI:1923934]"
"ENSMUSG00000075408","Smim41","small integral membrane protein 41 [Source:MGI Symbol;Acc:MGI:1924967]"
"ENSMUSG00000101063","Mrgprb7-ps","MAS-related GPR, member B7, pseudogene [Source:MGI Symbol;Acc:MGI:3033123]"
"ENSMUSG00000123511","Gm46397","predicted gene, 46397 [Source:MGI Symbol;Acc:MGI:5826034]"
"ENSMUSG00000116395","Gm49499","predicted gene, 49499 [Source:MGI Symbol;Acc:MGI:6155183]"
"ENSMUSG00000034845","Plvap","plasmalemma vesicle associated protein [Source:MGI Symbol;Acc:MGI:1890497]"
"ENSMUSG00000102003","Gm28666","predicted gene 28666 [Source:MGI Symbol;Acc:MGI:5579372]"
"ENSMUSG00000017300","Tnnc2","troponin C2, fast [Source:MGI Symbol;Acc:MGI:98780]"
"ENSMUSG00000037185","Krt80","keratin 80 [Source:MGI Symbol;Acc:MGI:1921377]"
"ENSMUSG00000101900","Mrgprb12-ps","MAS-related GPR, member B12, pseudogene [Source:MGI Symbol;Acc:MGI:3033192]"
"ENSMUSG00000101888","1700025H01Rik","RIKEN cDNA 1700025H01 gene [Source:MGI Symbol;Acc:MGI:1922781]"
"ENSMUSG00000061436","Hipk2","homeodomain interacting protein kinase 2 [Source:MGI Symbol;Acc:MGI:1314872]"
"ENSMUSG00000102100","Gm18351","predicted gene, 18351 [Source:MGI Symbol;Acc:MGI:5010536]"
"ENSMUSG00000140071","Gm60778","predicted gene, 60778 [Source:MGI Symbol;Acc:MGI:7804601]"
"ENSMUSG00000101352","Gm28665","predicted gene 28665 [Source:MGI Symbol;Acc:MGI:5579371]"
"ENSMUSG00000120073","Gm56509","predicted gene, 56509 [Source:MGI Symbol;Acc:MGI:7336932]"
"ENSMUSG00000113581","Dio3os","deiodinase, iodothyronine type III, opposite strand [Source:MGI Symbol;Acc:MGI:2664395]"
"ENSMUSG00000070551","Mrgprb5","MAS-related GPR, member B5 [Source:MGI Symbol;Acc:MGI:3033121]"
"ENSMUSG00000108900","Ccdc194","coiled-coil domain containing 194 [Source:MGI Symbol;Acc:MGI:3588239]"
"ENSMUSG00000101543","Gm18352","predicted gene, 18352 [Source:MGI Symbol;Acc:MGI:5010537]"
"ENSMUSG00000110619","Gm7850","predicted gene 7850 [Source:MGI Symbol;Acc:MGI:3645028]"
"ENSMUSG00000115907","Gm49432","predicted gene, 49432 [Source:MGI Symbol;Acc:MGI:6155072]"
"ENSMUSG00000046718","Bst2","bone marrow stromal cell antigen 2 [Source:MGI Symbol;Acc:MGI:1916800]"
"ENSMUSG00000070550","Mrgprb4","MAS-related GPR, member B4 [Source:MGI Symbol;Acc:MGI:3033119]"
"ENSMUSG00000127042","Gm59955","predicted gene, 59955 [Source:MGI Symbol;Acc:MGI:7802969]"
"ENSMUSG00000048058","Ldlrad3","low density lipoprotein receptor class A domain containing 3 [Source:MGI Symbol;Acc:MGI:2138856]"
"ENSMUSG00000127050","Gm59956","predicted gene, 59956 [Source:MGI Symbol;Acc:MGI:7802971]"
"ENSMUSG00000025246","Tbl1x","transducin (beta)-like 1 X-linked [Source:MGI Symbol;Acc:MGI:1336172]"
"ENSMUSG00000127083","Gm59957","predicted gene, 59957 [Source:MGI Symbol;Acc:MGI:7802973]"
"ENSMUSG00000097955","Gm26950","predicted gene, 26950 [Source:MGI Symbol;Acc:MGI:5504065]"
"ENSMUSG00000127092","Gm59958","predicted gene, 59958 [Source:MGI Symbol;Acc:MGI:7802975]"
"ENSMUSG00000140087","Gm30401","predicted gene, 30401 [Source:MGI Symbol;Acc:MGI:5589560]"
"ENSMUSG00000127121","Gm59959","predicted gene, 59959 [Source:MGI Symbol;Acc:MGI:7802977]"
"ENSMUSG00000127149","Gm59960","predicted gene, 59960 [Source:MGI Symbol;Acc:MGI:7802979]"
"ENSMUSG00000120208","Gm36703","predicted gene, 36703 [Source:MGI Symbol;Acc:MGI:5595862]"
"ENSMUSG00000099952","Gm18356","predicted gene, 18356 [Source:MGI Symbol;Acc:MGI:5010541]"
"ENSMUSG00000127187","Gm59961","predicted gene, 59961 [Source:MGI Symbol;Acc:MGI:7802981]"
"ENSMUSG00000127206","Gm59962","predicted gene, 59962 [Source:MGI Symbol;Acc:MGI:7802983]"
"ENSMUSG00000127210","Gm59963","predicted gene, 59963 [Source:MGI Symbol;Acc:MGI:7802985]"
"ENSMUSG00000127215","Gm59964","predicted gene, 59964 [Source:MGI Symbol;Acc:MGI:7802987]"
"ENSMUSG00000087354","4930404I05Rik","RIKEN cDNA 4930404I05 gene [Source:MGI Symbol;Acc:MGI:1914644]"
"ENSMUSG00000099620","Mrgprb13","MAS-related GPR, member B13 [Source:MGI Symbol;Acc:MGI:3033193]"
"ENSMUSG00000140101","Gm60783","predicted gene, 60783 [Source:MGI Symbol;Acc:MGI:7804611]"
"ENSMUSG00000120428","Gm56523","predicted gene, 56523 [Source:MGI Symbol;Acc:MGI:7336960]"
"ENSMUSG00000031813","Mvb12a","multivesicular body subunit 12A [Source:MGI Symbol;Acc:MGI:1920961]"
"ENSMUSG00000123571","Gm59838","predicted gene, 59838 [Source:MGI Symbol;Acc:MGI:7802737]"
"ENSMUSG00000123608","Gm53796","predicted gene, 53796 [Source:MGI Symbol;Acc:MGI:6722632]"
"ENSMUSG00000100687","Gm18357","predicted gene, 18357 [Source:MGI Symbol;Acc:MGI:5010542]"
"ENSMUSG00000114061","Gm48626","predicted gene, 48626 [Source:MGI Symbol;Acc:MGI:6098225]"
"ENSMUSG00000123651","Gm59843","predicted gene, 59843 [Source:MGI Symbol;Acc:MGI:7802747]"
"ENSMUSG00000127248","Gm59967","predicted gene, 59967 [Source:MGI Symbol;Acc:MGI:7802993]"
"ENSMUSG00000123652","Gm59844","predicted gene, 59844 [Source:MGI Symbol;Acc:MGI:7802749]"
"ENSMUSG00000127271","Gm59968","predicted gene, 59968 [Source:MGI Symbol;Acc:MGI:7802995]"
"ENSMUSG00000000001","Gnai3","G protein subunit alpha i3 [Source:MGI Symbol;Acc:MGI:95773]"
"ENSMUSG00000123658","Gm59845","predicted gene, 59845 [Source:MGI Symbol;Acc:MGI:7802751]"
"ENSMUSG00000140194","Gm60785","predicted gene, 60785 [Source:MGI Symbol;Acc:MGI:7804615]"
"ENSMUSG00000050870","Mrgprb8","MAS-related GPR, member B8 [Source:MGI Symbol;Acc:MGI:3033134]"
"ENSMUSG00000120265","Gm26698","predicted gene, 26698 [Source:MGI Symbol;Acc:MGI:5477192]"
"ENSMUSG00000127275","Gm59969","predicted gene, 59969 [Source:MGI Symbol;Acc:MGI:7802997]"
"ENSMUSG00000070547","Mrgprb1","MAS-related GPR, member B1 [Source:MGI Symbol;Acc:MGI:3033115]"
"ENSMUSG00000100596","Gm29502","predicted gene 29502 [Source:MGI Symbol;Acc:MGI:5580208]"
"ENSMUSG00000127280","Gm59970","predicted gene, 59970 [Source:MGI Symbol;Acc:MGI:7802999]"
"ENSMUSG00000127304","Gm59972","predicted gene, 59972 [Source:MGI Symbol;Acc:MGI:7803003]"
"ENSMUSG00000120080","Gm56608","predicted gene, 56608 [Source:MGI Symbol;Acc:MGI:7337130]"
"ENSMUSG00000116574","Gm18870","predicted gene, 18870 [Source:MGI Symbol;Acc:MGI:5011055]"
"ENSMUSG00000127336","Gm30064","predicted gene, 30064 [Source:MGI Symbol;Acc:MGI:5589223]"
"ENSMUSG00000033166","Dis3","DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease [Source:MGI Symbol;Acc:MGI:1919912]"
"ENSMUSG00000113190","Gm47545","predicted gene, 47545 [Source:MGI Symbol;Acc:MGI:6096558]"
"ENSMUSG00000074109","Mrgprx2","MAS-related GPR, member X2 [Source:MGI Symbol;Acc:MGI:3588270]"
"ENSMUSG00000140226","Gm60791","predicted gene, 60791 [Source:MGI Symbol;Acc:MGI:7804627]"
"ENSMUSG00000088459","Mir1941","microRNA 1941 [Source:MGI Symbol;Acc:MGI:3836979]"
"ENSMUSG00000116030","Gm49500","predicted gene, 49500 [Source:MGI Symbol;Acc:MGI:6155185]"
"ENSMUSG00000140258","Gm60793","predicted gene, 60793 [Source:MGI Symbol;Acc:MGI:7804631]"
"ENSMUSG00000024082","Ndufaf7","NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:MGI Symbol;Acc:MGI:1920944]"
"ENSMUSG00000023039","Krt7","keratin 7 [Source:MGI Symbol;Acc:MGI:96704]"
"ENSMUSG00000097061","9330151L19Rik","RIKEN cDNA 9330151L19 gene [Source:MGI Symbol;Acc:MGI:3041168]"
"ENSMUSG00000097326","A330048O09Rik","RIKEN cDNA A330048O09 gene [Source:MGI Symbol;Acc:MGI:2443792]"
"ENSMUSG00000050425","Mrgprb2","MAS-related GPR, member B2 [Source:MGI Symbol;Acc:MGI:2441674]"
"ENSMUSG00000127414","Gm59979","predicted gene, 59979 [Source:MGI Symbol;Acc:MGI:7803015]"
"ENSMUSG00000127451","Gm59982","predicted gene, 59982 [Source:MGI Symbol;Acc:MGI:7803021]"
"ENSMUSG00000101362","Mrgprb9-ps","MAS-related GPR, member B9, pseudogene [Source:MGI Symbol;Acc:MGI:3033133]"
"ENSMUSG00000086464","Gm15835","predicted gene 15835 [Source:MGI Symbol;Acc:MGI:3801923]"
"ENSMUSG00000127500","Gm59985","predicted gene, 59985 [Source:MGI Symbol;Acc:MGI:7803027]"
"ENSMUSG00000140297","Gm60802","predicted gene, 60802 [Source:MGI Symbol;Acc:MGI:7804649]"
"ENSMUSG00000043664","Tmem221","transmembrane protein 221 [Source:MGI Symbol;Acc:MGI:3525074]"
"ENSMUSG00000100250","Gm18353","predicted gene, 18353 [Source:MGI Symbol;Acc:MGI:5010538]"
"ENSMUSG00000140298","Gm60804","predicted gene, 60804 [Source:MGI Symbol;Acc:MGI:7804653]"
"ENSMUSG00000098087","Gm17750","predicted gene, 17750 [Source:MGI Symbol;Acc:MGI:5009828]"
"ENSMUSG00000140334","Gm60805","predicted gene, 60805 [Source:MGI Symbol;Acc:MGI:7804655]"
"ENSMUSG00000140345","Gm60806","predicted gene, 60806 [Source:MGI Symbol;Acc:MGI:7804657]"
"ENSMUSG00000140351","Gm60808","predicted gene, 60808 [Source:MGI Symbol;Acc:MGI:7804661]"
"ENSMUSG00000070546","Mrgprb3","MAS-related GPR, member B3 [Source:MGI Symbol;Acc:MGI:3033117]"
"ENSMUSG00000140372","Gm60809","predicted gene, 60809 [Source:MGI Symbol;Acc:MGI:7804663]"
"ENSMUSG00000085110","Gm13920","predicted gene 13920 [Source:MGI Symbol;Acc:MGI:3651615]"
"ENSMUSG00000140377","Gm20016","predicted gene, 20016 [Source:MGI Symbol;Acc:MGI:5012201]"
"ENSMUSG00000127506","Gm59991","predicted gene, 59991 [Source:MGI Symbol;Acc:MGI:7803037]"
"ENSMUSG00000082328","Gm13921","predicted gene 13921 [Source:MGI Symbol;Acc:MGI:3651614]"
"ENSMUSG00000030911","Zp2","zona pellucida glycoprotein 2 [Source:MGI Symbol;Acc:MGI:99214]"
"ENSMUSG00000081774","Gm13866","predicted gene 13866 [Source:MGI Symbol;Acc:MGI:3650317]"
"ENSMUSG00000127525","Gm32998","predicted gene, 32998 [Source:MGI Symbol;Acc:MGI:5592157]"
"ENSMUSG00000140451","Gm31884","predicted gene, 31884 [Source:MGI Symbol;Acc:MGI:5591043]"
"ENSMUSG00000050373","Snx21","sorting nexin family member 21 [Source:MGI Symbol;Acc:MGI:1917729]"
"ENSMUSG00000031808","Slc27a1","solute carrier family 27 (fatty acid transporter), member 1 [Source:MGI Symbol;Acc:MGI:1347098]"
"ENSMUSG00000127550","Gm59995","predicted gene, 59995 [Source:MGI Symbol;Acc:MGI:7803045]"
"ENSMUSG00000127555","Gm59997","predicted gene, 59997 [Source:MGI Symbol;Acc:MGI:7803049]"
"ENSMUSG00000116641","Gm41505","predicted gene, 41505 [Source:MGI Symbol;Acc:MGI:5624390]"
"ENSMUSG00002076902","Gm55070","predicted gene, 55070 [Source:MGI Symbol;Acc:MGI:6846614]"
"ENSMUSG00000081358","Gm14746","predicted gene 14746 [Source:MGI Symbol;Acc:MGI:3705706]"
"ENSMUSG00000112790","Gm10777","predicted gene 10777 [Source:MGI Symbol;Acc:MGI:3642231]"
"ENSMUSG00000140482","Gm31829","predicted gene, 31829 [Source:MGI Symbol;Acc:MGI:5590988]"
"ENSMUSG00000112381","Gm8170","predicted gene 8170 [Source:MGI Symbol;Acc:MGI:3644928]"
"ENSMUSG00000061371","Zfp873","zinc finger protein 873 [Source:MGI Symbol;Acc:MGI:3040689]"
"ENSMUSG00000140519","Gm40424","predicted gene, 40424 [Source:MGI Symbol;Acc:MGI:5623309]"
"ENSMUSG00000082842","Gm14748","predicted gene 14748 [Source:MGI Symbol;Acc:MGI:3705812]"
"ENSMUSG00000123832","Gm40998","predicted gene, 40998 [Source:MGI Symbol;Acc:MGI:5623883]"
"ENSMUSG00000081164","Gm8722","predicted gene 8722 [Source:MGI Symbol;Acc:MGI:3647758]"
"ENSMUSG00000140541","Gm60814","predicted gene, 60814 [Source:MGI Symbol;Acc:MGI:7804673]"
"ENSMUSG00000035725","Prkx","protein kinase, X-linked [Source:MGI Symbol;Acc:MGI:1309999]"
"ENSMUSG00000140613","Gm60815","predicted gene, 60815 [Source:MGI Symbol;Acc:MGI:7804675]"
"ENSMUSG00000112373","Gm18556","predicted gene, 18556 [Source:MGI Symbol;Acc:MGI:5010741]"
"ENSMUSG00000140621","Gm60816","predicted gene, 60816 [Source:MGI Symbol;Acc:MGI:7804677]"
"ENSMUSG00000021101","4930408O17Rik","RIKEN cDNA 4930408O17 gene [Source:MGI Symbol;Acc:MGI:1921178]"
"ENSMUSG00000027189","Trim44","tripartite motif-containing 44 [Source:MGI Symbol;Acc:MGI:1931835]"
"ENSMUSG00000112160","BC024063","cDNA sequence BC024063 [Source:MGI Symbol;Acc:MGI:2670978]"
"ENSMUSG00000078435","AU041133","expressed sequence AU041133 [Source:MGI Symbol;Acc:MGI:2143755]"
"ENSMUSG00000112922","Gm47572","predicted gene, 47572 [Source:MGI Symbol;Acc:MGI:6096602]"
"ENSMUSG00000103526","Gm18900","predicted gene, 18900 [Source:MGI Symbol;Acc:MGI:5011085]"
"ENSMUSG00000123848","Gm32525","predicted gene, 32525 [Source:MGI Symbol;Acc:MGI:5591684]"
"ENSMUSG00000112847","Gm47573","predicted gene, 47573 [Source:MGI Symbol;Acc:MGI:6096604]"
"ENSMUSG00000103267","Gm36980","predicted gene, 36980 [Source:MGI Symbol;Acc:MGI:5610208]"
"ENSMUSG00000062931","Zfp938","zinc finger protein 938 [Source:MGI Symbol;Acc:MGI:3621440]"
"ENSMUSG00000026678","Rgs5","regulator of G-protein signaling 5 [Source:MGI Symbol;Acc:MGI:1098434]"
"ENSMUSG00000103992","Gm38029","predicted gene, 38029 [Source:MGI Symbol;Acc:MGI:5611257]"
"ENSMUSG00000039156","Stim2","stromal interaction molecule 2 [Source:MGI Symbol;Acc:MGI:2151156]"
"ENSMUSG00000102579","Gm37965","predicted gene, 37965 [Source:MGI Symbol;Acc:MGI:5611193]"
"ENSMUSG00000076120","Mir551b","microRNA 551b [Source:MGI Symbol;Acc:MGI:3691605]"
"ENSMUSG00000098315","Mir21b","microRNA 21b [Source:MGI Symbol;Acc:MGI:5531333]"
"ENSMUSG00000114021","Gm47109","predicted gene, 47109 [Source:MGI Symbol;Acc:MGI:6095848]"
"ENSMUSG00000103095","Gm37557","predicted gene, 37557 [Source:MGI Symbol;Acc:MGI:5610785]"
"ENSMUSG00000046793","Gpr61","G protein-coupled receptor 61 [Source:MGI Symbol;Acc:MGI:2441719]"
"ENSMUSG00000111930","Gm47382","predicted gene, 47382 [Source:MGI Symbol;Acc:MGI:6096302]"
"ENSMUSG00000044581","Spata31h1","SPATA31 subfamily H member 1 [Source:MGI Symbol;Acc:MGI:3045298]"
"ENSMUSG00000113209","1700081N11Rik","RIKEN cDNA 1700081N11 gene [Source:MGI Symbol;Acc:MGI:1920778]"
"ENSMUSG00000123889","Gm59877","predicted gene, 59877 [Source:MGI Symbol;Acc:MGI:7802815]"
"ENSMUSG00000083306","Gm13868","predicted gene 13868 [Source:MGI Symbol;Acc:MGI:3651789]"
"ENSMUSG00000123893","Gm59878","predicted gene, 59878 [Source:MGI Symbol;Acc:MGI:7802817]"
"ENSMUSG00000075012","Fjx1","four jointed box 1 [Source:MGI Symbol;Acc:MGI:1341907]"
"ENSMUSG00000123905","Gm59879","predicted gene, 59879 [Source:MGI Symbol;Acc:MGI:7802819]"
"ENSMUSG00000073427","Gm4924","predicted gene 4924 [Source:MGI Symbol;Acc:MGI:3643133]"
"ENSMUSG00000086649","Gm15286","predicted gene 15286 [Source:MGI Symbol;Acc:MGI:3705204]"
"ENSMUSG00000140671","Gm60824","predicted gene, 60824 [Source:MGI Symbol;Acc:MGI:7804693]"
"ENSMUSG00000113599","9530014B07Rik","RIKEN cDNA 9530014B07 gene [Source:MGI Symbol;Acc:MGI:1924648]"
"ENSMUSG00000140683","Gm60825","predicted gene, 60825 [Source:MGI Symbol;Acc:MGI:7804695]"
"ENSMUSG00000140687","Gm60826","predicted gene, 60826 [Source:MGI Symbol;Acc:MGI:7804697]"
"ENSMUSG00000017307","Acot8","acyl-CoA thioesterase 8 [Source:MGI Symbol;Acc:MGI:2158201]"
"ENSMUSG00000024070","Prkd3","protein kinase D3 [Source:MGI Symbol;Acc:MGI:1922542]"
"ENSMUSG00000140694","Gm46381","predicted gene, 46381 [Source:MGI Symbol;Acc:MGI:5826018]"
"ENSMUSG00000102884","Gm37281","predicted gene, 37281 [Source:MGI Symbol;Acc:MGI:5610509]"
"ENSMUSG00000123960","Gm59880","predicted gene, 59880 [Source:MGI Symbol;Acc:MGI:7802821]"
"ENSMUSG00000140709","Gm60827","predicted gene, 60827 [Source:MGI Symbol;Acc:MGI:7804699]"
"ENSMUSG00000085318","Gm12524","predicted gene 12524 [Source:MGI Symbol;Acc:MGI:3651331]"
