"ensembl_gene_id","external_gene_name","description"
"ENSMUSG00000096777","Gm21723","predicted gene, 21723 [Source:MGI Symbol;Acc:MGI:5433887]"
"ENSMUSG00000102119","Gm28462","predicted gene 28462 [Source:MGI Symbol;Acc:MGI:5579168]"
"ENSMUSG00000100739","Gm28296","predicted gene 28296 [Source:MGI Symbol;Acc:MGI:5579002]"
"ENSMUSG00000095345","Gm21821","predicted gene, 21821 [Source:MGI Symbol;Acc:MGI:5433985]"
"ENSMUSG00000100709","Gm28295","predicted gene 28295 [Source:MGI Symbol;Acc:MGI:5579001]"
"ENSMUSG00000100976","Gm29134","predicted gene 29134 [Source:MGI Symbol;Acc:MGI:5579840]"
"ENSMUSG00000100489","Gm28303","predicted gene 28303 [Source:MGI Symbol;Acc:MGI:5579009]"
"ENSMUSG00000101239","Gm28304","predicted gene 28304 [Source:MGI Symbol;Acc:MGI:5579010]"
"ENSMUSG00000100971","Gm28824","predicted gene 28824 [Source:MGI Symbol;Acc:MGI:5579530]"
"ENSMUSG00000100509","Gm21810","predicted gene, 21810 [Source:MGI Symbol;Acc:MGI:5433974]"
"ENSMUSG00000095553","Gm21916","predicted gene, 21916 [Source:MGI Symbol;Acc:MGI:5434080]"
"ENSMUSG00000101099","Gm29191","predicted gene 29191 [Source:MGI Symbol;Acc:MGI:5579897]"
"ENSMUSG00000101601","Gm28210","predicted gene 28210 [Source:MGI Symbol;Acc:MGI:5578916]"
"ENSMUSG00000101516","Gm29074","predicted gene 29074 [Source:MGI Symbol;Acc:MGI:5579780]"
"ENSMUSG00000101359","Gm28211","predicted gene 28211 [Source:MGI Symbol;Acc:MGI:5578917]"
"ENSMUSG00000100790","Gm28518","predicted gene 28518 [Source:MGI Symbol;Acc:MGI:5579224]"
"ENSMUSG00000101302","Gm28519","predicted gene 28519 [Source:MGI Symbol;Acc:MGI:5579225]"
"ENSMUSG00000102125","Gm28520","predicted gene 28520 [Source:MGI Symbol;Acc:MGI:5579226]"
"ENSMUSG00000094064","Gm21626","predicted gene, 21626 [Source:MGI Symbol;Acc:MGI:5434981]"
"ENSMUSG00000101421","Gm28433","predicted gene 28433 [Source:MGI Symbol;Acc:MGI:5579139]"
"ENSMUSG00000099461","Gm28521","predicted gene 28521 [Source:MGI Symbol;Acc:MGI:5579227]"
"ENSMUSG00000101706","Gm28431","predicted gene 28431 [Source:MGI Symbol;Acc:MGI:5579137]"
"ENSMUSG00000096532","Gm21633","predicted gene, 21633 [Source:MGI Symbol;Acc:MGI:5434988]"
"ENSMUSG00000101627","Gm28432","predicted gene 28432 [Source:MGI Symbol;Acc:MGI:5579138]"
"ENSMUSG00000101681","Gm28522","predicted gene 28522 [Source:MGI Symbol;Acc:MGI:5579228]"
"ENSMUSG00000101870","Gm21745","predicted gene, 21745 [Source:MGI Symbol;Acc:MGI:5433909]"
"ENSMUSG00000101472","Gm28517","predicted gene 28517 [Source:MGI Symbol;Acc:MGI:5579223]"
"ENSMUSG00000101407","Gm29532","predicted gene 29532 [Source:MGI Symbol;Acc:MGI:5580238]"
"ENSMUSG00000099500","Gm29531","predicted gene 29531 [Source:MGI Symbol;Acc:MGI:5580237]"
"ENSMUSG00000100097","Gm28464","predicted gene 28464 [Source:MGI Symbol;Acc:MGI:5579170]"
"ENSMUSG00000099806","Gm28841","predicted gene 28841 [Source:MGI Symbol;Acc:MGI:5579547]"
"ENSMUSG00000101474","Gm29656","predicted gene 29656 [Source:MGI Symbol;Acc:MGI:5580362]"
"ENSMUSG00000099704","Gm28842","predicted gene 28842 [Source:MGI Symbol;Acc:MGI:5579548]"
"ENSMUSG00000099737","Gm29655","predicted gene 29655 [Source:MGI Symbol;Acc:MGI:5580361]"
"ENSMUSG00000099914","Gm28837","predicted gene 28837 [Source:MGI Symbol;Acc:MGI:5579543]"
"ENSMUSG00000101417","Gm21647","predicted gene, 21647 [Source:MGI Symbol;Acc:MGI:5435002]"
"ENSMUSG00000101654","Gm29653","predicted gene 29653 [Source:MGI Symbol;Acc:MGI:5580359]"
"ENSMUSG00000099369","Gm28838","predicted gene 28838 [Source:MGI Symbol;Acc:MGI:5579544]"
"ENSMUSG00000101808","Gm29654","predicted gene 29654 [Source:MGI Symbol;Acc:MGI:5580360]"
"ENSMUSG00000101893","Gm28839","predicted gene 28839 [Source:MGI Symbol;Acc:MGI:5579545]"
"ENSMUSG00000099910","Gm29651","predicted gene 29651 [Source:MGI Symbol;Acc:MGI:5580357]"
"ENSMUSG00000099818","Gm29652","predicted gene 29652 [Source:MGI Symbol;Acc:MGI:5580358]"
"ENSMUSG00000100500","Gm29080","predicted gene 29080 [Source:MGI Symbol;Acc:MGI:5579786]"
"ENSMUSG00000101255","Gm21841","predicted gene, 21841 [Source:MGI Symbol;Acc:MGI:5434005]"
"ENSMUSG00000099463","Gm29081","predicted gene 29081 [Source:MGI Symbol;Acc:MGI:5579787]"
"ENSMUSG00000100745","Gm29077","predicted gene 29077 [Source:MGI Symbol;Acc:MGI:5579783]"
"ENSMUSG00000101341","Gm29076","predicted gene 29076 [Source:MGI Symbol;Acc:MGI:5579782]"
"ENSMUSG00000100193","Gm29079","predicted gene 29079 [Source:MGI Symbol;Acc:MGI:5579785]"
"ENSMUSG00000099651","Gm29078","predicted gene 29078 [Source:MGI Symbol;Acc:MGI:5579784]"
"ENSMUSG00000100535","Gm20870","predicted gene, 20870 [Source:MGI Symbol;Acc:MGI:5434226]"
"ENSMUSG00000099390","Gm29225","predicted gene 29225 [Source:MGI Symbol;Acc:MGI:5579931]"
"ENSMUSG00000099738","Gm28483","predicted gene 28483 [Source:MGI Symbol;Acc:MGI:5579189]"
"ENSMUSG00000100422","Gm29226","predicted gene 29226 [Source:MGI Symbol;Acc:MGI:5579932]"
"ENSMUSG00000101988","Gm28484","predicted gene 28484 [Source:MGI Symbol;Acc:MGI:5579190]"
"ENSMUSG00000100385","Gm29227","predicted gene 29227 [Source:MGI Symbol;Acc:MGI:5579933]"
"ENSMUSG00000101626","Gm29386","predicted gene 29386 [Source:MGI Symbol;Acc:MGI:5580092]"
"ENSMUSG00000101091","Gm29384","predicted gene 29384 [Source:MGI Symbol;Acc:MGI:5580090]"
"ENSMUSG00000100229","Gm21896","predicted gene, 21896 [Source:MGI Symbol;Acc:MGI:5434060]"
"ENSMUSG00000101691","Gm29280","predicted gene 29280 [Source:MGI Symbol;Acc:MGI:5579986]"
"ENSMUSG00000100244","Gm29279","predicted gene 29279 [Source:MGI Symbol;Acc:MGI:5579985]"
"ENSMUSG00000100694","Gm29182","predicted gene 29182 [Source:MGI Symbol;Acc:MGI:5579888]"
"ENSMUSG00000099799","Gm28260","predicted gene 28260 [Source:MGI Symbol;Acc:MGI:5578966]"
"ENSMUSG00000101806","Gm28261","predicted gene 28261 [Source:MGI Symbol;Acc:MGI:5578967]"
"ENSMUSG00000101632","Gm28264","predicted gene 28264 [Source:MGI Symbol;Acc:MGI:5578970]"
"ENSMUSG00000099963","Gm28463","predicted gene 28463 [Source:MGI Symbol;Acc:MGI:5579169]"
"ENSMUSG00000101857","Gm21757","predicted gene, 21757 [Source:MGI Symbol;Acc:MGI:5433921]"
"ENSMUSG00000101836","Gm28968","predicted gene 28968 [Source:MGI Symbol;Acc:MGI:5579674]"
"ENSMUSG00000102008","Gm28495","predicted gene 28495 [Source:MGI Symbol;Acc:MGI:5579201]"
"ENSMUSG00000100263","Gm28468","predicted gene 28468 [Source:MGI Symbol;Acc:MGI:5579174]"
"ENSMUSG00000101425","Gm29255","predicted gene 29255 [Source:MGI Symbol;Acc:MGI:5579961]"
"ENSMUSG00000099822","Gm28332","predicted gene 28332 [Source:MGI Symbol;Acc:MGI:5579038]"
"ENSMUSG00000099547","Gm28678","predicted gene 28678 [Source:MGI Symbol;Acc:MGI:5579384]"
"ENSMUSG00000101781","Gm28333","predicted gene 28333 [Source:MGI Symbol;Acc:MGI:5579039]"
"ENSMUSG00000101271","Gm28334","predicted gene 28334 [Source:MGI Symbol;Acc:MGI:5579040]"
"ENSMUSG00000099504","Gm28335","predicted gene 28335 [Source:MGI Symbol;Acc:MGI:5579041]"
"ENSMUSG00000099782","Gm20903","predicted gene, 20903 [Source:MGI Symbol;Acc:MGI:5434259]"
"ENSMUSG00000101377","Gm28336","predicted gene 28336 [Source:MGI Symbol;Acc:MGI:5579042]"
"ENSMUSG00000101038","Gm28272","predicted gene 28272 [Source:MGI Symbol;Acc:MGI:5578978]"
"ENSMUSG00000101709","Gm28337","predicted gene 28337 [Source:MGI Symbol;Acc:MGI:5579043]"
"ENSMUSG00000100604","Gm29256","predicted gene 29256 [Source:MGI Symbol;Acc:MGI:5579962]"
"ENSMUSG00000099554","Gm28259","predicted gene 28259 [Source:MGI Symbol;Acc:MGI:5578965]"
"ENSMUSG00000099814","Gm28338","predicted gene 28338 [Source:MGI Symbol;Acc:MGI:5579044]"
"ENSMUSG00000101757","Gm28273","predicted gene 28273 [Source:MGI Symbol;Acc:MGI:5578979]"
"ENSMUSG00000101815","Gm29028","predicted gene 29028 [Source:MGI Symbol;Acc:MGI:5579734]"
"ENSMUSG00000101538","Gm29029","predicted gene 29029 [Source:MGI Symbol;Acc:MGI:5579735]"
"ENSMUSG00000100251","Gm29615","predicted gene 29615 [Source:MGI Symbol;Acc:MGI:5580321]"
"ENSMUSG00000100983","Gm29030","predicted gene 29030 [Source:MGI Symbol;Acc:MGI:5579736]"
"ENSMUSG00000101820","Gm29023","predicted gene 29023 [Source:MGI Symbol;Acc:MGI:5579729]"
"ENSMUSG00000099832","Gm29025","predicted gene 29025 [Source:MGI Symbol;Acc:MGI:5579731]"
"ENSMUSG00000101246","Gm29026","predicted gene 29026 [Source:MGI Symbol;Acc:MGI:5579732]"
"ENSMUSG00000101382","Gm28213","predicted gene 28213 [Source:MGI Symbol;Acc:MGI:5578919]"
"ENSMUSG00000099967","Gm28212","predicted gene 28212 [Source:MGI Symbol;Acc:MGI:5578918]"
"ENSMUSG00000100705","Gm28227","predicted gene 28227 [Source:MGI Symbol;Acc:MGI:5578933]"
"ENSMUSG00000101157","Gm20905","predicted gene, 20905 [Source:MGI Symbol;Acc:MGI:5434261]"
"ENSMUSG00000099712","Gm29411","predicted gene 29411 [Source:MGI Symbol;Acc:MGI:5580117]"
"ENSMUSG00000099586","Gm28222","predicted gene 28222 [Source:MGI Symbol;Acc:MGI:5578928]"
"ENSMUSG00000101879","Gm28820","predicted gene 28820 [Source:MGI Symbol;Acc:MGI:5579526]"
"ENSMUSG00000099412","Gm28223","predicted gene 28223 [Source:MGI Symbol;Acc:MGI:5578929]"
"ENSMUSG00000101831","Gm29412","predicted gene 29412 [Source:MGI Symbol;Acc:MGI:5580118]"
"ENSMUSG00000099601","Gm29671","predicted gene 29671 [Source:MGI Symbol;Acc:MGI:5580377]"
"ENSMUSG00000101704","Gm21878","predicted gene, 21878 [Source:MGI Symbol;Acc:MGI:5434042]"
"ENSMUSG00000101349","Gm28162","predicted gene 28162 [Source:MGI Symbol;Acc:MGI:5578868]"
"ENSMUSG00000100140","Gm28789","predicted gene 28789 [Source:MGI Symbol;Acc:MGI:5579495]"
"ENSMUSG00000094575","Gm20738","predicted gene, 20738 [Source:MGI Symbol;Acc:MGI:5434094]"
"ENSMUSG00000101146","Gm20814","predicted gene, 20814 [Source:MGI Symbol;Acc:MGI:5434170]"
"ENSMUSG00000099499","Gm28787","predicted gene 28787 [Source:MGI Symbol;Acc:MGI:5579493]"
