gene	logFC
Tnfaip8l2	2.82982314649238
Pirt	2.82896484292038
H2-T3	2.82706278626498
Fes	2.82492647349027
Atp8b2	2.82235579793544
Atp10a	2.81114156712796
Zbtb46	2.81061322378567
Itgam	2.80448295190742
Nrn1	2.7994589048318
Slc6a20a	2.79273348389017
Tnfsf10	2.78052050229532
Hrh1	2.77921241569903
2210415F13Rik	2.77227933824067
Pyroxd2	2.77023234955264
F2r	2.76585920389797
Alppl2	2.76200321905139
Gm52	2.75974213091957
Trpm6	2.75237566884199
Sspo	2.75156124483971
Gm15912	2.74967213326907
Arl4d	2.74816587265606
Ak7	2.74650378567749
Rgs7bp	2.74426345576517
Tnfrsf13b	2.74222565879905
Gm14202	2.74121728000869
Gm15821	2.73986726944494
Ceacam20	2.7355651442377
Lck	2.73425389874477
RP23-108F2.2	2.72490824749597
Crybb3	2.72186203444949
Slc28a2	2.72096979072238
Slc7a9	2.717310841289
2010001E11Rik	2.71624288731875
Tmigd1	2.71038255287219
Ccdc114	2.70995506895175
Stk10	2.70779088748291
Trpv3	2.70632622932032
Il12rb1	2.70367440583532
Kctd12b	2.70023821819055
Siglec5	2.6999401925624
Inpp5d	2.69726604489821
Ltb4r2	2.69475059888419
Slc13a2	2.69351644901887
Sned1	2.69206898800436
Tbc1d10c	2.6887098181638
Gm11775	2.68868120121419
Gm13195	2.687987018733
Gm16299	2.67934989508817
Slc7a8	2.67839717393793
Nos2	2.67467906347493
Tap2	2.66946864999249
Cmpk2	2.66756185647009
Fmo2	2.66722542173732
Ltb4r1	2.66676018455317
Il33	2.65196936165491
Chst12	2.6515413436869
Plek	2.6472063513793
Casp12	2.64699228725424
Zdhhc19	2.64659317990049
Trim6	2.62438768893857
St8sia1	2.61784427008672
Mertk	2.61735869706321
Lat	2.61703439373884
Adh6a	2.61081709975423
Entpd8	2.60937488331814
Fam161a	2.60922669979135
Card9	2.60359870597224
Lrrc50	2.5956776067703
Tap1	2.59527666166454
Fmnl1	2.59473453724689
E230016K23Rik	2.59156607597791
Vipr1	2.58850866750821
Upp1	2.58200619893912
Gm4992	2.57550558931879
Isg15	2.57533399611811
Celf5	2.57522934100494
Ptafr	2.57482407608238
Socs1	2.56046721658848
Tmem154	2.55712330064241
BC030476	2.55472777836473
Pacsin1	2.55383834726181
Itga4	2.55296330208082
Spink3	2.55249744454795
P2rx1	2.54836414215528
Lag3	2.54786691396142
Slc28a3	2.54523650088506
Cxcr5	2.54260629189289
Mmp28	2.53855970067599
Csf1r	2.53835461395551
2010015L04Rik	2.53797419726234
Rasl12	2.5363184399772
Chd3	2.53407603099561
Gpr183	2.5320511531503
Frem2	2.52807395919396
Cpne2	2.52578291477832
Capn9	2.52370357316731
Sectm1b	2.52169444909652
Cd79b	2.52066906613872
Lrrc33	2.50410462807001
Mxd1	2.49775612683416
Pla2g7	2.49429746420757
Cd300lf	2.49421054874354
Vamp5	2.49040459065459
Ifi44	2.48945888929586
Krt222	2.48928207205551
Paqr7	2.48528278156615
Slc47a1	2.48184183370878
Defa-ps6	2.48143808862266
Sucnr1	2.47827261367725
Rbp7	2.47804534721148
Ostb	2.475899799919
Gm11194	2.4754352332802
Ccr10	2.47517076998702
Tmem89	2.47423815168328
Reg3a	2.47328402544477
Cyp2d22	2.47044446803846
Rasd2	2.4682156588843
Smpx	2.46525354413258
Gm15533	2.46441796625106
Cxcr4	2.46273186184559
Slco2a1	2.45972915979414
Slc1a3	2.45564379623133
2310014H01Rik	2.45030705529938
Cntnap1	2.43984217530503
H2-T10	2.43772656305797
Sla2	2.43594850884759
Trim34a	2.43570746529879
Scarna2	2.43285690361513
Rnf144a	2.42432764603169
Ptpn13	2.42192396581737
Zfp287	2.4213452508078
