gene	logFC
RNF25	2.50381199367254
COX17	2.5037767912793
COLGALT2	2.50289121724209
SMAD6	2.50183936382185
MPHOSPH10	2.50071658583111
GNG13	2.49916993938943
CHAC2	2.49768179324869
OSBPL6	2.49659863773366
PLD6	2.49612180430513
PGP	2.49511354958103
TIPIN	2.49338448650391
SYDE2	2.4894208819215
MOCS3	2.4893084520622
DLAT	2.48873177456179
GSEC	2.48538996191758
PANK1	2.48348313861804
LOC105369551	2.48252046876431
DIAPH3-AS1	2.48040747611864
RUNDC3B	2.48021351231238
CYP51A1	2.47975303235208
UMPS	2.47922032387019
PELO	2.47829154146973
PREB	2.47698039115056
LOC102723729	2.47623797315311
NEUROG1	2.47500034172129
NDUFB3	2.47449549878972
CPOX	2.47440406603686
SLC25A23	2.47340838656743
MCM8	2.47256342918874
NIFK	2.47237571909749
SLC20A1	2.47134467485963
CDH17	2.46994145545285
RAD51C	2.46985529200322
RFESD	2.46977680380147
TXNDC9	2.46964188457315
TOMM5	2.46766478089921
LINC01637	2.46451578641179
LIPM	2.46358203213647
THAP10	2.46243525958016
HBD	2.46021242267353
POLA2	2.45781526557267
ZMPSTE24	2.45715276889188
RRP9	2.45714490327477
LACC1	2.45628172439959
MSC-AS1	2.45607085614507
FH	2.45464250694292
HSPH1	2.45453483632966
TWNK	2.45403774100038
SNORD88C	2.4535216982848
TST	2.45331830538283
COMMD8	2.45127210175335
LOC107985137	2.45070347189292
MFSD5	2.44952417411189
TRGJP2	2.44802699085994
PGAM4	2.44640764363248
NIP7	2.44597813851823
NCF4	2.44451127602297
TIMM10	2.44365277399266
MRPL36	2.4424003435566
CD1A	2.44181897065454
SHMT1	2.44129394097855
POLE2	2.44014115622163
TEDC1	2.43838106594887
MINPP1	2.43824990395697
PDIA4	2.43778516074757
FAM50B	2.43724115129809
PIWIL3	2.43715626963811
ZBTB47	2.43694706265795
SKA2	2.43684682772151
WDR3	2.43679825830146
LOC107987042	2.43540338611408
GGH	2.43263997508344
NFATC4	2.43224557004508
AVPR1B	2.43203702930518
ALG1	2.43003933572167
IKBIP	2.42999719137587
OTULINL	2.42994055814364
LOC105374506	2.42878030411014
FAM98A	2.42817804989626
POMGNT2	2.42499070887203
PPIF	2.42186886369955
BOLA1	2.41962346452994
NRCAM	2.41822893300407
LOC101927124	2.41618776103755
HMOX2	2.41594495531048
RAD1	2.41381290127632
EMILIN1	2.4130213792613
MNDA	2.41227545656165
MYC	2.41128352369024
NDC1	2.4111861097102
RNASEH2A	2.40954089957549
EPDR1	2.40910857537946
RAD54L	2.40867618063685
KBTBD6	2.40827309184064
SNORD160	2.40802756765672
FAM166A	2.40611165195275
SLC27A4	2.40592088653221
URB2	2.40388433587507
UCHL1	2.40372534140402
BBS12	2.40255263894181
RDM1	2.40204477033035
KCNH2	2.40146698198868
THNSL1	2.4006334495074
SLC2A9-AS1	2.39990361651648
RNASE6	2.39974570870753
HSD17B7	2.39796943892908
KIF20B	2.39404792398495
LMNB1-DT	2.39333297231668
MRPL18	2.39187591675675
LOC102724219	2.39186733791928
COQ3	2.3918308513904
TUBA1C	2.39134694455604
TMEM273	2.38937626327365
SPSB1	2.38894372522904
EIF4EBP1	2.3880898976409
ANKRD18A	2.38733196821877
C1orf112	2.38701939495052
DHFR	2.386155057814
TEX19	2.38572949599843
DTX4	2.3856131631706
MARVELD2	2.38485235208978
MT1X	2.38209962824324
MIR17HG	2.3819830692824
L2HGDH	2.38076870699313
TRGV2	2.38073414005996
TASL	2.38021685032068
MSX2P1	2.37828948810523
RHOU	2.37803367879948
UBXN10	2.37768077913773
PROS1	2.37628053356784
CITED2	2.3758937503937
CCDC26	2.37560650923144
MCMBP	2.37444603604444
PIGW	2.37342325695233
LINC02073	2.36984073531256
GCSAML	2.36642607493209
ACSL3	2.36609241836416
ITPRIPL1	2.36567531775159
DBI	2.36517919103519
SMIM15-AS1	2.36479611695992
CHPF	2.36448176227794
LOC105372711	2.3644328934171
RHOXF1P1	2.36173430772168
CCT5	2.36137970634486
RBL1	2.36124855356805
TMEM177	2.36063556546499
DYNC2I2	2.36050230432255
RXFP2	2.36014685976561
TRY-GTA5-5	2.35934584182951
TIMELESS	2.35810764876701
SLCO4A1-AS1	2.35762610892958
UNC5B	2.35492964440489
ZBED2	2.35283853325389
CPT2	2.35250649509636
PIH1D2	2.35184124646142
SPTB	2.34881251420481
RFC3	2.34382855622615
LOC102724951	2.34204517259429
MCM4	2.34106923654912
SNORD110	2.3408931983271
MRPL58	2.34068057676496
MED8	2.33928107979388
AGMAT	2.33869192807957
FANCI	2.33733315125243
TIMP3	2.33506417611104
EEF1AKMT1	2.33446356294755
GEMIN6	2.33438114079683
MKKS	2.33305816062966
MAP3K21	2.33238267465719
EEF1AKMT4-ECE2	2.33190775520481
LPXN	2.32989888312025
DBR1	2.32530780155498
LOC107986906	2.32403944499229
LOC102723360	2.32297594412973
RPL39L	2.32275611476622
MEX3D	2.32268159624058
NDUFAF4	2.32244846751001
UTP3	2.31897462543504
EEF1AKNMT	2.3174806683135
LGALS1	2.31445112895901
FAM83D	2.31425505052285
OBI1	2.31319029210361
LOC100506497	2.30903998264386
BRIP1	2.308857323866
KLRC4	2.3087473322896
LOC107986486	2.30583703455
LOC107984019	2.30290047105605
CDH1	2.30183457598151
TMEM52	2.30012206538126
POLR3B	2.29664928258072
MSMO1	2.29650085251374
SIGMAR1	2.29522833766983
CDC7	2.29367220322627
ZNF788P	2.29313284994677
CCR4	2.29199493177688
